French,English
histoire,history
chercher,search
seulement,only
pensais,thought
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
laisse,leash
eux,them
chaque,each
parlé,speak
devrait,should
longtemps,long time
heures,hours
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
voici,here is
donner,give
type,type
leurs,their
train,train
corps,body
endroit,place
trouve,find
premier,first
perdu,lost
main,hand
tiens,here
matin,morning
point,point
venu,came
suite,after
venez,come
devant,in front of
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
cause,cause
enfin,finally
eau,water
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
chérie,sweetheart
plutôt,rather
filles,girls
